,Subj,Age,Mean_RT,Mean_Feature1,Mean_Feature2,Mean_Feature3,Mean_Feature4,Mean_Feature5,Mean_Feature6,Mean_Feature7,Mean_Feature8,Mean_Feature9,Mean_Feature10,Mean_Animals,Mean_Landscapes,Mean_Objects,Mean_DimensionEntropy,Mean_FeatureEntropy,Mean_LookingTime,Mean_Correct,LearnedFeat,MeanFeatureEntropy,MeanDimensionEntropy
0,23,15.119999999999912,0.7082184999999995,0.029356741294568514,0.06309971519567403,0.017530961522508468,0.08156265769690955,0.09425783991871864,0.062075128054833756,0.1766936381577436,0.15609763909835958,0.17927717969336757,0.13254849936731627,0.10998741801275098,0.23789562567046182,0.5120684569494707,0.33552608867733463,0.25071264987043373,0.8274200000000004,0.7,True,0.9118617055884305,0.8439895508090351
1,26,23.31999999999987,0.7439511750000003,0.02726746962518357,0.04275938514040677,0.025830154976715432,0.16216526971028672,0.1993687789390438,0.16147955191464006,0.06272090455159086,0.08995220111516442,0.15728476035223232,0.06617152367473596,0.09585700974230575,0.5230136005639706,0.30995786601898756,0.3360407141984629,0.24994799338276535,0.9220899999999992,0.65,True,0.9070087076762179,0.8410713204124579
2,27,14.579999999999943,0.8163137658750004,0.04742500169124774,0.05919856772361745,0.06622213586983118,0.04541934049689387,0.07451722248327122,0.07466149030384787,0.19857149917257758,0.10044216645205863,0.16670299852528053,0.15933957728137396,0.17284570528469648,0.19459805328401292,0.46571666414991625,0.3297373484676025,0.24041788882217738,1.4873399999999999,0.6275,False,0.9383528009899101,0.9021344008525328
3,28,14.0,0.787443801899999,0.11161642105117413,0.14339271669546558,0.11941970503196149,0.08900353009303455,0.06332116397890183,0.03696642621923586,0.08503730717819509,0.08128988639563159,0.14349422035565051,0.1264586230007492,0.37442884277860145,0.1892911202911723,0.30982141392947715,0.31707805421930013,0.2447330461661759,1.1572199999999988,0.6925,True,0.9706600497061069,0.9668025040856884
4,29,16.72999999999984,0.6431957750000001,0.06325774957452744,0.11570495142717871,0.09176226593900594,0.04215686643571757,0.06781079375323885,0.04346906674020387,0.12643149811154542,0.14947457662486818,0.22066419536075477,0.07176803603295913,0.2707249669407122,0.15343672692916033,0.4965702700971687,0.21299804561555216,0.1694624245253903,1.3116699999999997,0.535,False,0.9384765173871327,0.9025259041698234
5,30,17.47999999999983,0.740507878225,0.09344073407278851,0.08520939141938509,0.08323199709603869,0.12432829513803925,0.14991318399245251,0.15930199363768374,0.02820499314100538,0.032969091156555864,0.04111445584819325,0.10228586449785768,0.2618821225882126,0.4335434727681754,0.10228854014575449,0.2566818703147073,0.2029222879526095,0.9406599999999996,0.55,False,0.9348974102436466,0.8742243237728318
6,31,17.640000000000114,0.6046538750000003,0.14936406377280884,0.13716178674870258,0.14408795693868057,0.1188106465315026,0.08553856656977747,0.11928829330715147,0.04700813894931375,0.033687326686357905,0.03098186509188099,0.11157135540382374,0.4306138074601922,0.32363750640843153,0.11167733072755262,0.3024626655650021,0.22964696029230913,0.94438,0.6425,True,0.9426948172274112,0.8914732263943851
7,34,23.159999999999897,0.7555331500000004,0.192397931773332,0.14544495656131576,0.14578127648103698,0.07305395585040889,0.05436498659506969,0.05569317121893118,0.07193099340651248,0.06251275928052161,0.06174898278331658,0.1370709860495547,0.48362416481568454,0.18311211366440958,0.1961927354703506,0.3063522313244438,0.2391712716906994,0.970680000000001,0.5025,False,0.9471870654532912,0.9013526134556243
8,35,24.069999999999865,0.8437842768999991,0.012715000116101539,0.01589639064217848,0.011346764450894999,0.16545337823728537,0.11183510765518716,0.15657829356746203,0.1428052374797094,0.1664699191885892,0.1345563702390575,0.0823435384235341,0.03995815520917503,0.4338667794599347,0.4438315269073561,0.42101710454160574,0.3383209581111839,1.3300499999999997,0.66,False,0.8791310293493907,0.7663763485410457
9,36,16.72999999999984,0.7753096350000008,0.04851296236566358,0.07704697262586274,0.04355020387623018,0.226000676337819,0.19348139097305642,0.201471171286349,0.04390924791336157,0.06915107097082233,0.028458060193535598,0.06341824345729946,0.16911013886775664,0.6209532385972243,0.14151837907771955,0.36374823146857305,0.25849415373916307,1.3331,0.6725,True,0.8865721261248632,0.7886282938200083
10,37,20.19999999999987,0.5357359750000006,0.14703301123806597,0.1857311562718392,0.1477815182687817,0.07131554969260648,0.16379986180212028,0.1132664695010292,0.03422376859391145,0.013945011361545093,0.052526722719686635,0.07037693055041387,0.48054568577868656,0.348381880995756,0.1006955026751432,0.2240428771930173,0.19543136163513045,0.8427299999999995,0.625,False,0.9157303311060954,0.864426658117693
11,38,25.65999999999989,0.7975000499999995,0.053361439499919026,0.0916463557446781,0.09469198634851268,0.17336473707763736,0.10695779781701126,0.13255294966741388,0.10292552384598064,0.08188327035921024,0.08728071148024455,0.0703352281593924,0.23969978159310973,0.4128754845620623,0.2720895056854353,0.24547522613264267,0.20227153071555165,1.6386699999999985,0.7025,True,0.9788388672858529,0.9739131430226272
12,39,14.329999999999945,0.7182146359999995,0.03619757920317232,0.020611929599511955,0.023293195565854873,0.05436749991701115,0.08545998975352774,0.04934819131914431,0.10430362919104462,0.13056150967174168,0.12376421503463941,0.11459226074435191,0.08010270436853913,0.18917568098968318,0.3586293538974256,0.2567881422771566,0.19590693941288492,0.7603100000000002,0.67,False,0.9224725259442831,0.8592951718238269
13,40,12.98999999999987,0.8389292785249991,0.13229315310266965,0.1124763957851885,0.1011553723312594,0.048804924974024416,0.06260652626410311,0.05523874152815959,0.056328568019951536,0.037989083778517216,0.042236959348626105,0.14587027486750026,0.34592492121911755,0.16665019276628715,0.13655461114709488,0.24083790771272615,0.17263769993283387,0.8557299999999993,0.5325,False,0.9572985710377389,0.9215629724595947
14,41,19.4099999999999,0.6190164250000002,0.03022137659040357,0.04338800300798277,0.04264712744501303,0.05821624240137467,0.051889202742313525,0.08880810166522365,0.2579220638250221,0.16310794466398157,0.17732006442622672,0.08397987323245834,0.11625650704339938,0.19891354680891188,0.5983500729152303,0.31783932231640055,0.2498661414821581,0.8700899999999998,0.4925,False,0.8867543822478986,0.7932147541315568
15,42,20.359999999999857,0.6846998499999998,0.07766050956766238,0.07498948205101601,0.0888749879710007,0.1957928964733141,0.1871918617758216,0.24044801443461744,0.03096588561956439,0.012682747679461502,0.017526038251412267,0.07386757617612953,0.24152497958967906,0.6234327726837533,0.06117467155043817,0.32225101217848573,0.2596753635458821,1.1774100000000005,0.6375,False,0.8581530661399642,0.724931507862105
16,43,19.960000000000033,0.6131814749999998,0.1438596644017263,0.1551887302631222,0.18885959194177485,0.07867577736672718,0.09010596123500315,0.09470783065190169,0.07838344482736899,0.05947405058708474,0.054408318314345124,0.0538366304109458,0.48790798660662366,0.2634895692536321,0.19226581372879883,0.2670307285159746,0.22517147138887647,1.0897099999999993,0.6775,True,0.961716685188231,0.9297273828946985
17,44,21.56000000000014,0.7269768250000006,0.026280303030439538,0.03479167317332945,0.04010116063857111,0.25545492704461387,0.20429788754503503,0.18178900791190514,0.056567155186843285,0.059430590525127426,0.06734238988546694,0.06894490505866792,0.1011731368423401,0.6415418225015541,0.18334013559743773,0.22623720335524175,0.2041722784144103,1.60635,0.5125,False,0.8675591188081884,0.7435085443367415
18,45,22.60999999999993,0.6026741,0.09573765479794956,0.08679904475797945,0.12280944257531663,0.05983574506624416,0.04588196317017501,0.06347476809095813,0.11219789746340919,0.12629145374816814,0.18245633077440715,0.10201569955539248,0.3053461421312457,0.16919247632737722,0.42094568198598453,0.2815102678029822,0.22655144881130349,0.8262200000000004,0.665,True,0.9643916867461111,0.9435073560449325
19,46,18.479999999999812,0.8464727250000004,0.16384740999427228,0.14557820484393777,0.1240664256588944,0.059431594248003414,0.055926188821796216,0.07496679249822723,0.09403177738085965,0.06628460130232992,0.10286107258914699,0.11050593266253214,0.4334920404971045,0.19032457556802704,0.26317745127233644,0.4890647744892084,0.34719275448899445,1.11651,0.5575,False,0.9691769950108599,0.9472484822029832
20,47,18.42000000000006,0.5936452539500001,0.12374720303470943,0.11319527555163698,0.052746018362132344,0.039850181923913486,0.07178102058693583,0.05063916928380324,0.13876907579085934,0.15115877980543416,0.18366387980682597,0.07194939585374918,0.2896884969484788,0.16227037179465253,0.47359173540311955,0.17749207161189362,0.15743824506890974,1.569139999999999,0.7175,True,0.9481710479510597,0.920866868166238
21,49,18.92000000000006,0.6927304249999996,0.1901993127876832,0.16735920201137178,0.14174724550470344,0.08193315150441853,0.029041567525476392,0.06659143687407242,0.08548796953313374,0.05985210533809979,0.05656379492417243,0.10372421399686804,0.49930576030375823,0.17756615590396738,0.20190386979540606,0.27907547721727005,0.22801999142421653,1.260929999999999,0.63,False,0.9361827292773334,0.8940769987332929
22,53,15.180000000000046,0.6446319340000002,0.10153117947543965,0.05181796012324652,0.05750323726854777,0.08397549259904506,0.04867203574822833,0.05323399313140581,0.16062761709819603,0.13940486563159593,0.09576773784527463,0.08746588107902017,0.21085237686723393,0.1858815214786791,0.39580022057506653,0.3642138225765045,0.2560144667767753,0.75377,0.6325,False,0.9589662179223835,0.9458624903530409
23,54,20.149999999999853,0.6376875500000004,0.0512044409931334,0.025431976273766494,0.06405335356850882,0.22086622241176848,0.21034336083377791,0.1937734085624408,0.06915783815088475,0.018276905099866923,0.059139137426672296,0.08775335667917984,0.14068977083540876,0.6249829918079874,0.14657388067742402,0.2753155582043382,0.20140276715810385,1.0399999999999998,0.59,False,0.8692809154977432,0.7656629522998615
24,55,24.149999999999817,0.7345368999999998,0.0865384900586423,0.11179068254761881,0.1298589885300641,0.12012362327824626,0.08774212565903967,0.08574649429746976,0.0673725647533677,0.10667729406281748,0.08223037321486373,0.11441936359787018,0.3281881611363251,0.29361224323475554,0.2562802320310488,0.26142317745955573,0.1959666988808295,1.5835800000000004,0.69,True,0.9911405316235903,0.9954006523295983
25,57,21.060000000000155,0.7052881749999991,0.1034890712349328,0.10390949157277568,0.07667489296034771,0.051881023452196154,0.030231988485881777,0.07968381766646088,0.12129576572222721,0.18241765409672003,0.1994107893492158,0.04100550545924182,0.28407345576805615,0.1617968296045388,0.5031242091681629,0.37972998583638523,0.26818744823284546,1.07638,0.645,True,0.9428030033397243,0.90941478899472
26,60,21.880000000000038,0.6848121250000004,0.049045588236276715,0.07737989429967342,0.06558352368676794,0.18828395557732272,0.15634336478012767,0.20288261347248673,0.026879403841484725,0.019562775949749558,0.044316454887222335,0.16222242526888808,0.19200900622271813,0.5475099338299372,0.09075863467845663,0.2635203201270938,0.1974599188476871,0.8259599999999995,0.54,False,0.8828366062422149,0.7783936964365227
27,61,17.069999999999926,0.6449896526250004,0.14669177202612707,0.11632373787748045,0.16996065148594486,0.07740602644486505,0.041111276856034176,0.07628968204194132,0.10816705151487391,0.06325352395991976,0.06633742804127932,0.1344588497515342,0.43297616138955236,0.19480698534284052,0.23775800351607304,0.4153175260682665,0.2645101722715908,0.9426299999999996,0.64,False,0.9616078628283359,0.9439984627038471
28,62,20.760000000000158,0.7989022749999997,0.034325889400287996,0.04389450782249273,0.049695045794198374,0.15887425274302014,0.22016328620923292,0.28217171505453914,0.056145101165797934,0.032415205503597354,0.060193562612005244,0.05712143369482809,0.12791544301697907,0.6612092540067921,0.14875386928140055,0.3043718238884743,0.2621954277246521,1.4190099999999999,0.5125,False,0.8572004005116509,0.7374766092221743
29,63,16.899999999999896,0.7507589499999995,0.14971704653829254,0.09917555361214958,0.10188768391916307,0.049882292971559695,0.06839182792466013,0.030852995917852333,0.11292663963615228,0.1760637755661667,0.12376537875164734,0.07483680516235608,0.35078028406960526,0.1491271168140723,0.4127557939539664,0.31046722719332803,0.23594401985319483,1.1952199999999988,0.7425,True,0.9543668042089674,0.930620335735792
30,68,18.27000000000018,0.7027558250000009,0.0203387062675338,0.028472910764068396,0.006916072111980122,0.14453681814470332,0.11463384771919356,0.26749073668135986,0.11637117806184018,0.07756268932726823,0.10727682193012812,0.08640021899192436,0.05572768914358231,0.5266614025452565,0.3012106893192367,0.20725280203166116,0.19182150737991374,1.3246699999999996,0.555,False,0.8623865337115758,0.7733174595917734
31,69,22.07999999999994,0.748281,0.05823246203694401,0.07822922238201321,0.04986083386002242,0.0547891130793523,0.046971552875801084,0.04467434933520946,0.17670667545038124,0.19578840997851443,0.16703299446088804,0.10771438654087381,0.1863225182789796,0.1464350152903628,0.5395280798897837,0.2850669360370734,0.23216070044795764,1.2049200000000004,0.6675,False,0.9189871197604822,0.8432964574923442
32,70,18.680000000000092,0.6905038749999997,0.14052174447282345,0.16844164172743833,0.1233666428335837,0.04611841265712017,0.06051556586500254,0.05855225360696452,0.112718353356269,0.035706648624929935,0.142725512447515,0.10883322440835341,0.43233002903384554,0.16518623212908717,0.2911505144287139,0.36975936134277876,0.2687997118246332,0.9785900000000002,0.5975,False,0.947316648674295,0.9365439833359217
33,71,22.52000000000023,0.7460779500000001,0.036727145488556975,0.09008163161303406,0.02007034560478896,0.05237357297857742,0.08451852334527682,0.044523787397321116,0.27877076465034706,0.1229715451585422,0.2174630879310583,0.04499959583249693,0.14687912270638004,0.1814158837211754,0.6192053977399479,0.34612369921967684,0.2742958673526724,1.0094899999999993,0.62,False,0.8708417581186759,0.8041856444988656
